n,m,grau_medio,C,algoritmo,repeticao,tempo_ms
1000,4000,8,1000,Dijkstra Normal,1,0.990707
1000,4000,8,1000,Dijkstra Heap Minimo,1,0.238112
1000,4000,8,1000,Dijkstra Bucket,1,0.179324
1000,4000,8,1000,Dijkstra Normal,2,1.008899
1000,4000,8,1000,Dijkstra Heap Minimo,2,0.278265
1000,4000,8,1000,Dijkstra Bucket,2,0.180589
1000,4000,8,1000,Dijkstra Normal,3,0.997411
1000,4000,8,1000,Dijkstra Heap Minimo,3,0.233026
1000,4000,8,1000,Dijkstra Bucket,3,0.178589
1000,4000,8,1000,Dijkstra Normal,4,0.991516
1000,4000,8,1000,Dijkstra Heap Minimo,4,0.277099
1000,4000,8,1000,Dijkstra Bucket,4,0.181527
1000,4000,8,1000,Dijkstra Normal,5,1.018813
1000,4000,8,1000,Dijkstra Heap Minimo,5,0.246123
1000,4000,8,1000,Dijkstra Bucket,5,0.186437
2000,8000,8,1000,Dijkstra Normal,1,3.739823
2000,8000,8,1000,Dijkstra Heap Minimo,1,0.541587
2000,8000,8,1000,Dijkstra Bucket,1,0.314832
2000,8000,8,1000,Dijkstra Normal,2,3.777453
2000,8000,8,1000,Dijkstra Heap Minimo,2,0.534356
2000,8000,8,1000,Dijkstra Bucket,2,0.321396
2000,8000,8,1000,Dijkstra Normal,3,3.757096
2000,8000,8,1000,Dijkstra Heap Minimo,3,0.510943
2000,8000,8,1000,Dijkstra Bucket,3,0.332360
2000,8000,8,1000,Dijkstra Normal,4,3.804605
2000,8000,8,1000,Dijkstra Heap Minimo,4,0.519803
2000,8000,8,1000,Dijkstra Bucket,4,0.369205
2000,8000,8,1000,Dijkstra Normal,5,3.714357
2000,8000,8,1000,Dijkstra Heap Minimo,5,0.513620
2000,8000,8,1000,Dijkstra Bucket,5,0.315820
4000,16000,8,1000,Dijkstra Normal,1,14.675417
4000,16000,8,1000,Dijkstra Heap Minimo,1,1.196878
4000,16000,8,1000,Dijkstra Bucket,1,0.549912
4000,16000,8,1000,Dijkstra Normal,2,14.580174
4000,16000,8,1000,Dijkstra Heap Minimo,2,1.162030
4000,16000,8,1000,Dijkstra Bucket,2,0.564407
4000,16000,8,1000,Dijkstra Normal,3,14.827219
4000,16000,8,1000,Dijkstra Heap Minimo,3,1.207540
4000,16000,8,1000,Dijkstra Bucket,3,0.543652
4000,16000,8,1000,Dijkstra Normal,4,14.659682
